open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1577120700000,7548.85500000,7554.75693385,7543.87178784,7544.51269693,0,1577120759999,0,60,0,0,0
1577120760000,7544.44996966,7544.44996966,7539.13827236,7543.15736327,0,1577120819999,0,60,0,0,0
1577120820000,7543.31327236,7543.51645418,7538.44054509,7538.81645418,0,1577120879999,0,60,0,0,0
1577120880000,7538.72781782,7538.73872691,7535.10781782,7537.68781782,0,1577120939999,0,60,0,0,0
1577120940000,7538.28418145,7538.50236327,7534.30827235,7536.00736326,0,1577120999999,0,60,0,0,0
1577121000000,7535.82190872,7536.86327235,7535.07918145,7536.62918145,0,1577121059999,0,60,0,0,0
1577121060000,7536.82372690,7536.94190872,7529.26781781,7531.47599963,0,1577121119999,0,60,0,0,0
1577121120000,7530.53918145,7540.13918145,7530.53918145,7540.13918145,0,1577121179999,0,60,0,0,0
1577121180000,7539.81463599,7539.81463599,7534.10826568,7534.28281114,0,1577121239999,0,60,0,0,0
1577121240000,7534.58053841,7538.69553841,7534.12599296,7535.42235659,0,1577121299999,0,60,0,0,0
1577121300000,7535.72417478,7536.83962932,7527.06508387,7527.61508387,0,1577121359999,0,60,0,0,0
1577121360000,7527.66326568,7530.30053841,7526.76599296,7528.64190205,0,1577121419999,0,60,0,0,0
1577121420000,7528.29508387,7528.57417478,7524.48462932,7525.94508387,0,1577121479999,0,60,0,0,0
1577121480000,7525.69826568,7528.36690205,7525.03008387,7525.55508387,0,1577121539999,0,60,0,0,0
1577121540000,7525.45508387,7525.61417478,7517.79644750,7518.86585353,0,1577121599999,0,60,0,0,0
1577121600000,7517.96767172,7518.55812626,7500.87403535,7502.96409073,0,1577121659999,0,60,0,0,0
1577121660000,7500.59136346,7500.92409073,7486.09909091,7494.25272727,0,1577121719999,0,60,0,0,0
1577121720000,7494.05090909,7494.28954546,7483.89909091,7487.49545455,0,1577121779999,0,60,0,0,0
1577121780000,7486.94318182,7487.39772727,7465.25463735,7465.25463735,0,1577121839999,0,60,0,0,0
